# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 044-MGD1LKN
# station_name: Dhobahat
# latitude: 26.60777777777778
# longitude: 82.63694444444445
# river: Ghagra
# rl_zero: 65.0
# warning_level: nan
# danger_level: nan
# hfl: 87.735
# hfl_date: 2014-08-19
station_code,time,wse,water_depth,unit,lat,lon
044-MGD1LKN,2024-01-01 08:00:00,81.68,16.680000000000007,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-01 13:00:00,81.68,16.680000000000007,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-01 18:00:00,81.67,16.67,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-02 08:00:00,81.65,16.650000000000006,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-02 13:00:00,81.65,16.650000000000006,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-02 18:00:00,81.65,16.650000000000006,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-03 08:00:00,81.65,16.650000000000006,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-03 13:00:00,81.63,16.629999999999995,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-03 18:00:00,81.63,16.629999999999995,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-04 08:00:00,81.62,16.620000000000005,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-04 13:00:00,81.62,16.620000000000005,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-04 18:00:00,81.62,16.620000000000005,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-05 08:00:00,81.61,16.61,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-05 13:00:00,81.61,16.61,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-05 18:00:00,81.6,16.599999999999994,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-06 08:00:00,81.6,16.599999999999994,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-06 13:00:00,81.6,16.599999999999994,m,26.60777777777778,82.63694444444445
044-MGD1LKN,2024-01-06 18:00:00,81.6,16.599999999999994,m,26.60777777777778,82.63694444444445
