# SWIFT Hydrological Timeseries
# source: WRIS
# dataset: SEDIM
# station_code: 016-NDBHP
# station_name: Narmadapuram
# latitude: 22.756
# longitude: 77.733
station_code,time,sed,unit,lat,lon
016-NDBHP,2024-04-01 09:00:00,0.007,g/L,22.756,77.733
016-NDBHP,2024-04-02 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-03 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-04 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-05 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-06 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-07 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-08 09:00:00,0.011,g/L,22.756,77.733
016-NDBHP,2024-04-09 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-10 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-11 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-12 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-13 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-14 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-15 09:00:00,0.016,g/L,22.756,77.733
016-NDBHP,2024-04-16 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-17 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-18 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-19 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-20 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-21 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-22 09:00:00,0.019,g/L,22.756,77.733
016-NDBHP,2024-04-23 09:00:00,0.02,g/L,22.756,77.733
016-NDBHP,2024-04-24 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-25 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-26 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-27 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-28 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-04-29 09:00:00,0.018,g/L,22.756,77.733
016-NDBHP,2024-04-30 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-01 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-02 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-03 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-04 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-05 09:00:00,0.04,g/L,22.756,77.733
016-NDBHP,2024-05-06 09:00:00,0.038,g/L,22.756,77.733
016-NDBHP,2024-05-07 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-08 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-09 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-10 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-11 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-12 09:00:00,0.04,g/L,22.756,77.733
016-NDBHP,2024-05-13 09:00:00,0.156,g/L,22.756,77.733
016-NDBHP,2024-05-14 09:00:00,0.03,g/L,22.756,77.733
016-NDBHP,2024-05-15 09:00:00,0.03,g/L,22.756,77.733
