# SWIFT Hydrological Timeseries
# source: WRIS
# dataset: SEDIM
# station_code: 007-ugdhyd
# station_name: Pachegaon
# latitude: 19.5353
# longitude: 74.8336
station_code,time,sed,unit,lat,lon
007-ugdhyd,2024-07-29 08:00:00,0.027,g/L,19.5353,74.8336
007-ugdhyd,2024-07-30 08:00:00,0.044,g/L,19.5353,74.8336
007-ugdhyd,2024-07-31 08:00:00,0.122,g/L,19.5353,74.8336
007-ugdhyd,2024-09-02 09:00:00,0.017,g/L,19.5353,74.8336
007-ugdhyd,2024-09-03 09:00:00,0.021,g/L,19.5353,74.8336
007-ugdhyd,2024-09-04 09:00:00,0.0,g/L,19.5353,74.8336
007-ugdhyd,2024-09-05 09:00:00,0.408,g/L,19.5353,74.8336
007-ugdhyd,2024-09-06 09:00:00,0.016,g/L,19.5353,74.8336
007-ugdhyd,2024-09-07 09:00:00,0.02,g/L,19.5353,74.8336
007-ugdhyd,2024-09-09 09:00:00,0.017,g/L,19.5353,74.8336
007-ugdhyd,2024-09-10 09:00:00,0.013,g/L,19.5353,74.8336
007-ugdhyd,2024-09-11 09:00:00,0.025,g/L,19.5353,74.8336
007-ugdhyd,2024-09-12 09:00:00,0.018,g/L,19.5353,74.8336
007-ugdhyd,2024-09-13 09:00:00,0.0,g/L,19.5353,74.8336
007-ugdhyd,2024-09-14 09:00:00,0.022,g/L,19.5353,74.8336
007-ugdhyd,2024-09-17 09:00:00,0.051,g/L,19.5353,74.8336
007-ugdhyd,2024-09-18 09:00:00,0.025,g/L,19.5353,74.8336
007-ugdhyd,2024-09-19 09:00:00,0.021,g/L,19.5353,74.8336
007-ugdhyd,2024-09-20 09:00:00,0.012,g/L,19.5353,74.8336
007-ugdhyd,2024-09-21 09:00:00,0.014,g/L,19.5353,74.8336
007-ugdhyd,2024-09-23 08:00:00,0.027,g/L,19.5353,74.8336
007-ugdhyd,2024-09-24 08:00:00,0.033,g/L,19.5353,74.8336
007-ugdhyd,2024-09-25 09:00:00,0.0,g/L,19.5353,74.8336
007-ugdhyd,2024-09-26 09:00:00,0.056,g/L,19.5353,74.8336
007-ugdhyd,2024-09-27 09:00:00,0.055,g/L,19.5353,74.8336
007-ugdhyd,2024-09-28 09:00:00,0.037,g/L,19.5353,74.8336
007-ugdhyd,2024-09-30 09:00:00,0.017,g/L,19.5353,74.8336
007-ugdhyd,2024-10-01 09:00:00,0.007,g/L,19.5353,74.8336
007-ugdhyd,2024-10-03 08:00:00,0.033,g/L,19.5353,74.8336
007-ugdhyd,2024-10-04 09:00:00,0.0,g/L,19.5353,74.8336
007-ugdhyd,2024-10-05 09:00:00,0.232,g/L,19.5353,74.8336
007-ugdhyd,2024-10-07 09:00:00,0.029,g/L,19.5353,74.8336
007-ugdhyd,2024-10-08 09:00:00,0.013,g/L,19.5353,74.8336
007-ugdhyd,2024-10-09 09:00:00,0.015,g/L,19.5353,74.8336
007-ugdhyd,2024-10-10 09:00:00,0.031,g/L,19.5353,74.8336
007-ugdhyd,2024-10-11 08:00:00,0.019,g/L,19.5353,74.8336
007-ugdhyd,2024-10-14 08:00:00,0.02,g/L,19.5353,74.8336
007-ugdhyd,2024-10-15 08:00:00,0.051,g/L,19.5353,74.8336
