code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
001-SRDCBE,Avarankuppam,Palar,East flowing rivers between Pennar and Kanyakumari,Tamil Nadu,Tirupathur,"Southern River Division(SRD), Coimbatore",12.684166666666666,78.53944444444444,365.275,367.21,368.21,368.82,1991-10-30
001-SWRDKOCHI,ERINJIPUZHA,Payaswani,West flowing rivers from Tadri to Kanyakumari,Kerala,KASARAGOD,"Southern Western River Division(SWRD), Kochi",12.495833333333332,75.15694444444445,9.1,18.03,19.03,19.08,1995-07-12
001-TDSURAT,BODELI,Orsang,Narmada,Gujarat,Vadodara,"Executive Engineer, Tapi Division, Surat",22.265,73.72722222222222,68.0,,76.8,80.9,
001-UBDDIB,Kibithu,Lohit,Brahmaputra,Arunachal Pradesh,ANJAW,"Upper Brahmaputra Division (UBD), Dibrugarh",28.25722222222222,97.02583333333334,1217.0,,,1230.26,2017-08-10
001-UKDPUNE,Karad,Krishna,Krishna,Maharashtra,Satara,"Upper Krishna Division(UKD), Pune",17.29361111111111,74.19,549.915,563.41,567.04,567.162,1976-06-07
001-UYDDEL,Naugaon,Yamuna,Ganga,Uttarakhand,Uttarkashi,"Upper Yamuna Division(UYD), New Delhi",30.791666666666668,78.13805555555557,1053.0,1059.0,1060.0,1060.4,2010-09-19
001-chejmu,Khanabal,Jhelum,Indus,Jammu & Kashmir,ANANTNAG,"Chenab Division(CD), Jammu",33.74861111111111,75.12166666666666,1582.0,1591.2,1592.5,1594.84,2025-08-27
001-lgd3beh,BEDEPARA,Padma,Ganga,West Bengal,MURSHIDABAD,"Lower Ganga Division III(LGD-III), Berhampore",24.139166666666664,88.69694444444445,4.0,,,17.885,2019-10-03
001-lgdhyd,Somanpally(Seasonal),Maner,Godavari,Telangana,KARIMNAGAR,"Upper Godavari Division(UGD), Hyderabad",18.616666666666667,79.8,121.0,,,129.02,2023-07-27
001-mdburla,Mahulpali,Bheden,Mahanadi,Odisha,SAMBALPUR,"Mahanadi Division(MD), Burla",21.86638888888889,84.38,245.0,,,253.18,2020-08-27
001-neid2,Tuichang,Tuichang,Minor rivers draining into Myanmar and Bangladesh,Mizoram,LUNGLEI,"North Eastern Investigation Division-II, Aizawal",23.034444444444446,92.9652777777778,260.0,,,,
001-wgdngp,Keolari,Wainganga,Godavari,Madhya Pradesh,SEONI,"Wainganga Division(WD), Nagpur",22.38138888888889,79.89972222222222,423.87,,,443.03,2020-08-29
002-CDBNG,Honnali,Tungabhadra,Krishna,Karnataka,Davanagere,"Cauvery Division, Bangaluru",14.237222222222222,75.66250000000001,533.9,544.2,544.75,546.47,1994-07-16
002-CDJAPR,Tal,Chambal,Ganga,Madhya Pradesh,RATLAM,"Chambal Division(CD), Jaipur",23.72138888888889,75.34444444444443,424.0,441.0,443.0,438.12,2015-07-26
002-DDASL,Haripur,Tepra,Ganga,Jharkhand,DUMKA,"Damodar Division(DD), Asansol",24.31138888888889,87.08694444444444,0.0,,,137.1,2008-09-28
002-HGDDDN,Joshimath,Alaknanda,Ganga,Uttarakhand,Chamoli,"Himalayan Ganga Division,Haridwar",30.566944444444445,79.55333333333333,1370.0,1382.0,1383.0,1388.65,2021-02-07
002-HYDCHENNAI,Nellore CWC,Pennar,Pennar,Andhra Pradesh,NELLORE,"Hydrology Division(HD),Chennai",14.470277777777778,79.9888888888889,7.23,15.91,17.28,18.7,1982-11-30
002-LBDJPG,Beki Road bridge,Beki,Brahmaputra,Assam,BARPETA,"Middle Brahmaputra Division (MBD), Guwahati",26.49413333333333,90.91789722222222,40.0,44.1,45.1,46.2,2000-08-04
002-LGD3BEH,BISWANATHPUR,Padma,Ganga,West Bengal,MURSHIDABAD,"Lower Ganga Division III(LGD-III), Berhampore",24.4575,88.1375,11.5,19.24,20.94,22.79,2000-09-23
002-LGDHYD,Kaleswaram,Godavari,Godavari,Telangana,BHUPALPALLY,"Upper Godavari Division(UGD), Hyderabad",18.82,79.91000000000001,91.29,103.5,104.75,108.19,2022-07-15
002-LKDHYD,Narayanapur Reservoir,Krishna,Krishna,Karnataka,Bagalkote,"Lower Krishna Division(LKD), Hyderabad",16.2,76.36,0.0,,,,2008-09-26
002-LYDAGRA,ETAWAH,Yamuna,Ganga,Uttar Pradesh,ETAWAH,"Lower Yamuna Division(LYD), Agra",26.749722222222225,78.98333333333333,111.0,120.92,121.92,126.13,1978-09-11
002-MAHGAND,Anas PH-II,Anas,Mahi,Rajasthan,BANSWARA,"Executive Engineer, Mahi Divison, Gandhinagar",23.353611111111118,74.23361111111112,133.0,,,160.0,1990-08-24
002-MBDGHY,Goalpara,Brahmaputra,Brahmaputra,Assam,GOALPARA,"Middle Brahmaputra Division (MBD), Guwahati",26.184722222222224,90.63388888888888,27.0,35.27,36.27,37.43,1954-07-31
002-MDBURLA,Parmanpur,Bheden,Mahanadi,Odisha,JHARSUGUDA,"Mahanadi Division(MD), Burla",21.789444444444445,84.1061111111111,199.0,,,217.06,2001-07-17
002-MDSIL,KAMALPUR,Dhalai,Barak and Others,Tripura,DHALAI,"Meghna Division(MD), Silchar",24.19305555555556,91.83583333333333,26.0,31.5,32.5,33.85,1984-05-15
