code,name
032-hydchennai,Wellington Reservoir
023-mgd4ptn,Basua
010-MBDGHY,Annapurnaghat
01-11-01-002,Matijuri
009-WGDNGP,Pauni
022-HGDDDN,Pipalkoti
030-LBDJPG,Ghugumari
008-SRDCBE,SAVANDAPUR
020-LYDAGRA,NAINI
054-mgd2lkn,Bhatpura
025-LBDJPG,Tufanganj
005-mgd4ptn,Samastipur
011-SRDCBE,KODUMUDI
DWRIS-05,Rothak
FF-5,Teesta -V Dam
016-mgd2lkn,Rae bareli
060 MDBURLA,RAVISHANKAR SAGAR DAM
008-TDSURAT,DAHIGAON
065-LYDAGRA,TIGHARA
009-DDASL	,Pupunki
BY00045,KULSI
017-LGDHYD,Bhadrachalam
011-ukdpune,Takli
50-LGDHYD,Balimela dam (Sileru)
NBO-2-055-1257,Bargi Reservoir
027-SWRDKOCHI,THOTTATHINKADAVU
022-UYDDEL,Dhansa
018-mgd3vns,MAIGHAT
029-hydchennai,Poondi Satyamoorthy Reservoir
003-mgd2lkn,Fatehgarh
061-TDSURAT,KHOLWAD(KATHORE)
007-ukdpune,Sadalga (Seasonal)
027-LGDHYD,GodavariRlyBridge(Rajahmundry)
002-MGD5PTN,Dighaghat
Thoubal-13,Thoubal_WLR
070-LYD AGRA,MADIKHERA(ATAL SAGAR) DAM
008-MGD3VNS,Ballia
DHAR-01,Dharchula
FF- 4,Rongli Dam
017-MGD3VNS,Jalalpur
018-MGD1LKN,Balrampur
006-LYDAGR,KALPI
040-MDBURLA,Pubansa (S)
DWRIS-04,Singtam
NBO-1-046-1247,Indira Sagar Reservoir
BV000FS,Dudhnoi
009-mdsil,Monierkhal
016-HGDDDN,Dharamnagari Barrage
018-SWRDKOCHI,MALAKKARA
017-LYDAGRA,CHILLAGHAT
004-UKDPUNE,Arjunwad (Seasonal)
003DHAR,DHARCHULA
0025-srdcwc,Bhavani Sagar Dam 
015-ERDBWN,Anandpur
033-HDCHENNAI,Mayambadi
010-mgd4ptn,Chatia
027-LBDJPG,Jaldhaka NH-31
005-MAHGAND,Mahi Bajaj Sagar Dam
001-MGD5PTN,Buxar
010-mgd3vns,Jaunpur
030-MAHGAND ,Dantiwada Dam
42mgd5ptn,Annaraj Dam
037-TDSURAT,AKOLA
023-UGDHYD,Sriram Sagar Reservoir
041-ukdpune,Muradpur
020-MAHGAND,Subhash Bridge
004-MGD1LKN,Pancheshwar
017-mgd4ptn,Benibad
037-CDJAPR,Parwati Pick- up weir
0037-CDBNG,Bhadra Reservoir
004-MBDGHY,Pagladiya N T Road Crossing
